0	0	0	0	0	0	50	51	52	0	0	0	0	0	0
0	0	0	0	0	0	49	53	1	0	0	0	0	0	0
0	0	0	0	0	0	48	54	2	0	0	0	0	0	0
0	0	0	0	0	0	47	55	3	0	0	0	0	0	0
0	0	0	0	0	0	46	56	4	0	0	0	0	0	0
0	0	0	0	0	0	45	57	5	0	0	0	0	0	0
39	40	41	42	43	44	0	0	0	6	7	8	9	10	11
38	68	69	70	71	72	0	0	0	62	61	60	59	58	12
37	36	35	34	33	32	0	0	0	18	17	16	15	14	13
0	0	0	0	0	0	31	67	19	0	0	0	0	0	0
0	0	0	0	0	0	30	66	20	0	0	0	0	0	0
0	0	0	0	0	0	29	65	21	0	0	0	0	0	0
0	0	0	0	0	0	28	64	22	0	0	0	0	0	0
0	0	0	0	0	0	27	63	23	0	0	0	0	0	0
0	0	0	0	0	0	26	25	24	0	0	0	0	0	0
